153,BYVoid/OpenCC,903,C++
154,haad/proxychains,902,C
155,libimobiledevice/libimobiledevice,897,C
156,WebAssembly/wabt,896,C++
157,AGWA/git-crypt,873,C++
158,google/AFL,869,C
159,mattn/go-sqlite3,851,C
160,FastLED/FastLED,851,C++
161,wwmm/pulseeffects,841,C++
162,fluent/fluent-bit,840,C
163,google/security-research-pocs,838,C++
164,stanfordnlp/GloVe,824,C
165,gatieme/CodingInterviews,816,C++
166,merbanan/rtl_433,814,C
167,onqtam/doctest,810,C++
168,universal-ctags/ctags,806,C
169,fulldecent/system-bus-radio,802,C
170,wangyu-/udp2raw-tunnel,802,C++
171,hanickadot/compile-time-regular-expressions,798,C++
172,hfiref0x/UACME,794,C
173,LordNoteworthy/al-khaser,789,C++
174,google/atheris,784,C++
175,badaix/snapcast,784,C++
176,henrypp/simplewall,780,C++
177,akopytov/sysbench,778,C
178,JakubVojvoda/design-patterns-cpp,776,C++
179,lewissbaker/cppcoro,775,C++
180,lotabout/write-a-C-interpreter,771,C
181,google/draco,766,C++
182,bblanchon/ArduinoJson,761,C++
183,kiukotsu/ucore,759,C
184,Stellarium/stellarium,757,C++
185,rswier/c4,757,C
186,lc-soft/LCUI,755,C
187,citusdata/citus,753,C
188,plaidml/plaidml,751,C++
189,cnr-isti-vclab/meshlab,746,C++
190,jakehilborn/displayplacer,745,C
191,Squirrel/Squirrel.Windows,740,C++
192,zeux/meshoptimizer,736,C++
193,scylladb/seastar,733,C++
194,kelektiv/node.bcrypt.js,731,C++
195,ipkn/crow,730,C++
196,openalpr/openalpr,727,C++
197,ideawu/ssdb,726,C++
198,danmar/cppcheck,720,C++
199,marcobambini/gravity,716,C
200,forhappy/Cplusplus-Concurrency-In-Practice,713,C++
201,TigerVNC/tigervnc,710,C++
202,tensorflow/serving,709,C++
203,hishamhm/htop,709,C
204,mmp/pbrt-v3,705,C++
205,tzapu/WiFiManager,701,C++
206,libfuse/sshfs,699,C
207,acaudwell/Gource,697,C++
208,maharmstone/btrfs,696,C
209,abishekvashok/cmatrix,687,C
210,lupoDharkael/flameshot,686,C++
211,jbeder/yaml-cpp,683,C++
212,HKUST-Aerial-Robotics/VINS-Mono,682,C++
213,TrinityCore/TrinityCore,681,C++
214,nodemcu/nodemcu-firmware,678,C
215,Palakis/obs-ndi,678,C
216,mcmilk/7-Zip-zstd,677,C++
217,JoshuaWise/better-sqlite3,673,C++
218,Project-OSRM/osrm-backend,672,C++
219,mpc-hc/mpc-hc,672,C
220,google/oboe,672,C++
221,sass/node-sass,668,C++
222,patriciogonzalezvivo/glslViewer,666,C
223,supercollider/supercollider,663,C++
224,jarro2783/cxxopts,662,C++
225,xtaci/algorithms,660,C++
226,id-Software/Quake-III-Arena,658,C
227,libusb/libusb,657,C
228,doxygen/doxygen,655,C++
229,duilib/duilib,644,C++
230,gnuradio/gnuradio,644,C++
231,KhronosGroup/Vulkan-Samples,640,C++
232,vysheng/tg,637,C
233,mossmann/hackrf,636,C
234,googleprojectzero/TinyInst,636,C++
235,yedf/handy,635,C++
236,antirez/redis,635,C
237,sysown/proxysql,634,C++
238,mgba-emu/mgba,634,C
239,nanomsg/nng,632,C
240,DiligentGraphics/DiligentEngine,630,C++
241,ValveSoftware/openvr,626,C++
242,zhongyang219/MusicPlayer2,625,C++
243,deepmind/open_spiel,625,C++
244,ARMmbed/mbedtls,623,C
245,urbit/urbit,618,C
246,OGRECave/ogre,612,C++
247,google/bloaty,612,C++
248,butor/blackbird,610,C++
249,lief-project/LIEF,608,C++
250,winshining/nginx-http-flv-module,607,C
251,RPISEC/MBE,604,C
252,DarthTon/Blackbone,600,C++
253,qTox/qTox,600,C++
254,jgamblin/Mirai-Source-Code,598,C
255,pbek/QOwnNotes,597,C++
256,cartographer-project/cartographer,595,C++
257,ketoo/NoahGameFrame,592,C++
258,Kurento/kurento-media-server,592,C++
259,EOSIO/eos,591,C++
260,redis/hiredis,590,C
261,rui314/8cc,585,C
262,tinyproxy/tinyproxy,585,C
263,mpaland/printf,582,C
264,rust-lang/rust-bindgen,580,C++
265,giltene/wrk2,580,C
266,NLnetLabs/unbound,580,C
267,tamlok/vnote,578,C++
268,JoeDog/siege,578,C
269,Ardour/ardour,572,C++
270,newsboat/newsboat,572,C++
271,squeaky-pl/japronto,570,C
272,visualfc/liteide,569,C++
273,lightspark/lightspark,569,C++
274,RIOT-OS/RIOT,565,C
275,rainmeter/rainmeter,564,C++
276,emilybache/GildedRose-Refactoring-Kata,558,C++
277,jonls/redshift,557,C
278,webcamoid/webcamoid,556,C++
279,dvorka/hstr,555,C
280,Haivision/srt,554,C++
281,audiorouterdev/audio-router,553,C++
282,1technophile/OpenMQTTGateway,545,C++
283,pezy/CppPrimer,541,C++
284,huaxz1986/cplusplus-_Implementation_Of_Introduction_to_Algorithms,540,C++
285,zmap/zmap,536,C
286,NixOS/patchelf,533,C
287,google/fuzzing,533,C++
288,360Controller/360Controller,530,C++
289,google/xls,526,C++
290,begeekmyfriend/yasea,525,C
291,clangen/musikcube,521,C++
292,vcmi/vcmi,521,C++
293,jainaman224/Algo_Ds_Notes,521,C++
294,justadudewhohacks/opencv4nodejs,518,C++
295,swaywm/wlroots,518,C
296,zauonlok/renderer,518,C
297,cmus/cmus,517,C
298,ThePhD/sol2,517,C++
299,blynkkk/blynk-library,514,C++
300,ARM-software/CMSIS_5,513,C
301,google/flutter-desktop-embedding,513,C++
302,MariaDB/server,513,C++
303,LongSoft/UEFITool,512,C++
304,zserge/jsmn,510,C
305,armink/EasyLogger,508,C
306,OISF/suricata,508,C
307,h2o/h2o,507,C
308,premake/premake-core,501,C
309,hzeller/rpi-rgb-led-matrix,500,C++
310,CatxFish/obs-virtual-cam,498,C++
311,TileDB-Inc/TileDB,497,C++
312,ponylang/ponyc,496,C++
313,espressif/ESP8266_RTOS_SDK,496,C
314,clementine-player/Clementine,495,C++
315,solvespace/solvespace,492,C++
316,baskerville/sxhkd,490,C
317,a0rtega/pafish,490,C
318,dresden-elektronik/deconz-rest-plugin,489,C++
319,rfjakob/earlyoom,484,C
320,YosysHQ/yosys,482,C++
321,CedricGuillemet/ImGuizmo,481,C++
322,glmcdona/Process-Dump,480,C++
323,litecoin-project/litecoin,474,C++
324,antirez/sds,473,C
325,joncampbell123/dosbox-x,473,C
326,tstack/lnav,469,C++
327,draios/sysdig,467,C++
328,sysstat/sysstat,466,C
329,zeux/pugixml,465,C++
330,qpdf/qpdf,465,C++
331,knolleary/pubsubclient,463,C++
332,henrypp/memreduct,463,C++
333,Qihoo360/evpp,462,C++
334,blechschmidt/massdns,461,C
335,verilator/verilator,459,C++
336,flatpak/flatpak,458,C
337,nem0/LumixEngine,456,C++
338,rime/weasel,455,C++
339,cisco/openh264,454,C++
340,Xfennec/progress,452,C
341,MHeironimus/ArduinoJoystickLibrary,452,C++
342,zeusees/HyperLPR,448,C++
343,acassen/keepalived,447,C
344,shadowsocks/shadowsocks-qt5,447,C++
345,gpac/gpac,447,C
346,fragglet/c-algorithms,446,C
347,karlstav/cava,445,C
348,UB-Mannheim/tesseract,445,C++
349,aliakseis/LIII,445,C++
